className,sectionName,subjectName,teacherName,roomCode,day,startTime,endTime,periodType
Grade 1,A,Mathematics,Teacher 1,R-001,Monday,08:30,09:15,Period
Grade 1,A,English,Teacher 2,R-002,Monday,09:20,10:05,Period
Grade 1,A,Science,Teacher 3,R-003,Monday,10:30,11:15,Period
Grade 1,A,English,Teacher 4,R-004,Monday,11:20,12:05,Period
Grade 1,A,Mathematics,Teacher 1,R-001,Tuesday,08:30,09:15,Period
Grade 1,A,English,Teacher 2,R-002,Tuesday,09:20,10:05,Period
Grade 1,A,Science,Teacher 3,R-003,Tuesday,10:30,11:15,Period
Grade 1,A,English,Teacher 4,R-004,Tuesday,11:20,12:05,Period
Grade 1,A,Mathematics,Teacher 1,R-001,Wednesday,08:30,09:15,Period
Grade 1,A,English,Teacher 2,R-002,Wednesday,09:20,10:05,Period
Grade 1,A,Science,Teacher 3,R-003,Wednesday,10:30,11:15,Period
Grade 1,A,English,Teacher 4,R-004,Wednesday,11:20,12:05,Period
Grade 1,A,Mathematics,Teacher 1,R-001,Thursday,08:30,09:15,Period
Grade 1,A,English,Teacher 2,R-002,Thursday,09:20,10:05,Period
Grade 1,A,Science,Teacher 3,R-003,Thursday,10:30,11:15,Period
Grade 1,A,English,Teacher 4,R-004,Thursday,11:20,12:05,Period
Grade 1,A,Mathematics,Teacher 1,R-001,Friday,08:30,09:15,Period
Grade 1,A,English,Teacher 2,R-002,Friday,09:20,10:05,Period
Grade 1,A,Science,Teacher 3,R-003,Friday,10:30,11:15,Period
Grade 1,A,English,Teacher 4,R-004,Friday,11:20,12:05,Period
Grade 1,B,Mathematics,Teacher 4,R-004,Monday,08:30,09:15,Period
Grade 1,B,English,Teacher 5,R-005,Monday,09:20,10:05,Period
Grade 1,B,Science,Teacher 6,R-006,Monday,10:30,11:15,Period
Grade 1,B,English,Teacher 4,R-007,Monday,11:20,12:05,Period
Grade 1,B,Mathematics,Teacher 4,R-004,Tuesday,08:30,09:15,Period
Grade 1,B,English,Teacher 5,R-005,Tuesday,09:20,10:05,Period
Grade 1,B,Science,Teacher 6,R-006,Tuesday,10:30,11:15,Period
Grade 1,B,English,Teacher 4,R-007,Tuesday,11:20,12:05,Period
Grade 1,B,Mathematics,Teacher 4,R-004,Wednesday,08:30,09:15,Period
Grade 1,B,English,Teacher 5,R-005,Wednesday,09:20,10:05,Period
Grade 1,B,Science,Teacher 6,R-006,Wednesday,10:30,11:15,Period
Grade 1,B,English,Teacher 4,R-007,Wednesday,11:20,12:05,Period
Grade 1,B,Mathematics,Teacher 4,R-004,Thursday,08:30,09:15,Period
Grade 1,B,English,Teacher 5,R-005,Thursday,09:20,10:05,Period
Grade 1,B,Science,Teacher 6,R-006,Thursday,10:30,11:15,Period
Grade 1,B,English,Teacher 4,R-007,Thursday,11:20,12:05,Period
Grade 1,B,Mathematics,Teacher 4,R-004,Friday,08:30,09:15,Period
Grade 1,B,English,Teacher 5,R-005,Friday,09:20,10:05,Period
Grade 1,B,Science,Teacher 6,R-006,Friday,10:30,11:15,Period
Grade 1,B,English,Teacher 4,R-007,Friday,11:20,12:05,Period
Grade 2,A,Mathematics,Teacher 7,R-007,Monday,08:30,09:15,Period
Grade 2,A,English,Teacher 8,R-008,Monday,09:20,10:05,Period
Grade 2,A,Science,Teacher 9,R-009,Monday,10:30,11:15,Period
Grade 2,A,English,Teacher 7,R-010,Monday,11:20,12:05,Period
Grade 2,A,Mathematics,Teacher 7,R-007,Tuesday,08:30,09:15,Period
Grade 2,A,English,Teacher 8,R-008,Tuesday,09:20,10:05,Period
Grade 2,A,Science,Teacher 9,R-009,Tuesday,10:30,11:15,Period
Grade 2,A,English,Teacher 7,R-010,Tuesday,11:20,12:05,Period
Grade 2,A,Mathematics,Teacher 7,R-007,Wednesday,08:30,09:15,Period
Grade 2,A,English,Teacher 8,R-008,Wednesday,09:20,10:05,Period
Grade 2,A,Science,Teacher 9,R-009,Wednesday,10:30,11:15,Period
Grade 2,A,English,Teacher 7,R-010,Wednesday,11:20,12:05,Period
Grade 2,A,Mathematics,Teacher 7,R-007,Thursday,08:30,09:15,Period
Grade 2,A,English,Teacher 8,R-008,Thursday,09:20,10:05,Period
Grade 2,A,Science,Teacher 9,R-009,Thursday,10:30,11:15,Period
Grade 2,A,English,Teacher 7,R-010,Thursday,11:20,12:05,Period
Grade 2,A,Mathematics,Teacher 7,R-007,Friday,08:30,09:15,Period
Grade 2,A,English,Teacher 8,R-008,Friday,09:20,10:05,Period
Grade 2,A,Science,Teacher 9,R-009,Friday,10:30,11:15,Period
Grade 2,A,English,Teacher 7,R-010,Friday,11:20,12:05,Period
